,Country,ISO3 Code,Date,Price (EUR/MWhe),date,day,month,year
90,Austria,AUT,2022-07-01,359.2,2022-07-01,1,7,2022
91,Austria,AUT,2022-08-01,489.46,2022-08-01,1,8,2022
92,Austria,AUT,2022-09-01,401.46,2022-09-01,1,9,2022
93,Austria,AUT,2022-10-01,183.9,2022-10-01,1,10,2022
94,Austria,AUT,2022-11-01,213.13,2022-11-01,1,11,2022
95,Austria,AUT,2022-12-01,265.72,2022-12-01,1,12,2022
96,Austria,AUT,2023-01-01,145.16,2023-01-01,1,1,2023
97,Austria,AUT,2023-02-01,144.65,2023-02-01,1,2,2023
98,Austria,AUT,2023-03-01,113.23,2023-03-01,1,3,2023
99,Austria,AUT,2023-04-01,104.89,2023-04-01,1,4,2023
100,Austria,AUT,2023-05-01,82.25,2023-05-01,1,5,2023
101,Austria,AUT,2023-06-01,94.9,2023-06-01,1,6,2023
102,Austria,AUT,2023-07-01,84.72,2023-07-01,1,7,2023
103,Austria,AUT,2023-08-01,92.78,2023-08-01,1,8,2023
104,Austria,AUT,2023-09-01,101.38,2023-09-01,1,9,2023
105,Austria,AUT,2023-10-01,99.2,2023-10-01,1,10,2023
106,Austria,AUT,2023-11-01,93.64,2023-11-01,1,11,2023
107,Austria,AUT,2023-12-01,73.03,2023-12-01,1,12,2023
108,Austria,AUT,2024-01-01,81.43,2024-01-01,1,1,2024
109,Austria,AUT,2024-02-01,65.77,2024-02-01,1,2,2024
110,Austria,AUT,2024-03-01,63.57,2024-03-01,1,3,2024
111,Belgium,BEL,2015-01-01,43.4,2015-01-01,1,1,2015
112,Belgium,BEL,2015-02-01,50.54,2015-02-01,1,2,2015
113,Belgium,BEL,2015-03-01,47.05,2015-03-01,1,3,2015
114,Belgium,BEL,2015-04-01,47.69,2015-04-01,1,4,2015
115,Belgium,BEL,2015-05-01,37.58,2015-05-01,1,5,2015
116,Belgium,BEL,2015-06-01,39.12,2015-06-01,1,6,2015
117,Belgium,BEL,2015-07-01,42.58,2015-07-01,1,7,2015
118,Belgium,BEL,2015-08-01,42.44,2015-08-01,1,8,2015
119,Belgium,BEL,2015-09-01,52.49,2015-09-01,1,9,2015
120,Belgium,BEL,2015-10-01,55.43,2015-10-01,1,10,2015
121,Belgium,BEL,2015-11-01,43.11,2015-11-01,1,11,2015
122,Belgium,BEL,2015-12-01,35.94,2015-12-01,1,12,2015
123,Belgium,BEL,2016-01-01,32.6,2016-01-01,1,1,2016
124,Belgium,BEL,2016-02-01,25.4,2016-02-01,1,2,2016
125,Belgium,BEL,2016-03-01,27.12,2016-03-01,1,3,2016
126,Belgium,BEL,2016-04-01,25.43,2016-04-01,1,4,2016
127,Belgium,BEL,2016-05-01,25.38,2016-05-01,1,5,2016
128,Belgium,BEL,2016-06-01,30.7,2016-06-01,1,6,2016
129,Belgium,BEL,2016-07-01,31.32,2016-07-01,1,7,2016
130,Belgium,BEL,2016-08-01,28.91,2016-08-01,1,8,2016
131,Belgium,BEL,2016-09-01,37.73,2016-09-01,1,9,2016
132,Belgium,BEL,2016-10-01,57.19,2016-10-01,1,10,2016
133,Belgium,BEL,2016-11-01,62.32,2016-11-01,1,11,2016
